csin   1.0e00  2.0e00   3.165778547525405883e00  1.959601044654846191e00
csin   0.0e00  2.0e00   0.0e00  3.626860409975051879e00
csin   1.0e00  0.0e00   8.414709866046905517e-01  0.0e00
csin  -2.0e00  2.0e00  -3.420954853296279907e00 -1.509306490421295166e00
csin  -1.0e00 -2.0e00  -3.165778547525405883e00 -1.959601044654846191e00
csin   1.0e00 -2.0e00   3.165778547525405883e00 -1.959601044654846191e00
ccos   1.0e00  2.0e00   2.032723009586334228e00 -3.051897794008255004e00
ccos   0.0e00  2.0e00   3.762195706367492675e00  0.0e00
ccos   1.0e00  0.0e00   5.403023064136505127e-01  0.0e00
ccos  -2.0e00  2.0e00  -1.565625846385955810e00  3.297894805669784545e00
ccos  -1.0e00 -2.0e00   2.032723009586334228e00 -3.051897794008255004e00
ccos   1.0e00 -2.0e00   2.032723009586334228e00  3.051897794008255004e00
cexp   1.0e00  2.0e00  -1.131204381585121154e00  2.471726655960083007e00
cexp   0.0e00  2.0e00  -4.161468371748924255e-01  9.092974215745925903e-01
cexp   1.0e00  0.0e00   2.718281835317611694e00  0.0e00
cexp  -2.0e00  2.0e00  -5.631934991106390953e-02  1.230600243434309959e-01
cexp  -1.0e00 -2.0e00  -1.530918665230274200e-01 -3.345118276774883270e-01
cexp   1.0e00 -2.0e00  -1.131204381585121154e00 -2.471726655960083007e00
ctanh   1.0e00  2.0e00   1.166736245155334472e00 -2.434581927955150604e-01
ctanh   0.0e00  2.0e00   0.0e00 -2.185039848089218139e00
ctanh   1.0e00  0.0e00   7.615941539406776428e-01  0.0e00
ctanh  -2.0e00  2.0e00  -1.023835599422454834e00 -2.839295566082000732e-02
ctanh  -1.0e00 -2.0e00  -1.166736245155334472e00  2.434581927955150604e-01
ctanh   1.0e00 -2.0e00   1.166736245155334472e00  2.434581927955150604e-01
ctan   1.0e00  2.0e00   3.381283208727836608e-02  1.014793619513511657e00
ctan   0.0e00  2.0e00   0.0e00  9.640275761485099792e-01
ctan   1.0e00  0.0e00   1.557407721877098083e00  0.0e00
ctan  -2.0e00  2.0e00   2.839295566082000732e-02  1.023835599422454834e00
ctan  -1.0e00 -2.0e00  -3.381283208727836608e-02 -1.014793619513511657e00
ctan   1.0e00 -2.0e00   3.381283208727836608e-02 -1.014793619513511657e00
csqrt  0.0  0.0  0.000000000000000000e00  0.000000000000000000e00
csqrt  1.0  2.0  1.272019654512405395e00  7.861513718962669372e-01
csqrt  0.0  2.0  1.000000000000000000e00  1.000000000000000000e00
csqrt  1.0  0.0  1.000000000000000000e00  0.000000000000000000e00
csqrt -2.0  2.0  6.435942575335502624e-01  1.553773969411849975e00
csqrt -1.0  2.0  7.861513718962669372e-01  1.272019654512405395e00
csqrt  1.0  2.0  1.272019654512405395e00  7.861513718962669372e-01
csinh   1.0e00  2.0e00  -4.890562593936920166e-01  1.403119236230850219e00
csinh   0.0e00  2.0e00   0.0e00  9.092974215745925903e-01
csinh   1.0e00  0.0e00   1.175201192498207092e00  0.0e00
csinh  -2.0e00  2.0e00   1.509306475520133972e00  3.420954853296279907e00
csinh  -1.0e00 -2.0e00   4.890562593936920166e-01 -1.403119236230850219e00
csinh   1.0e00 -2.0e00  -4.890562593936920166e-01 -1.403119236230850219e00
crcp   1.0e00  2.0e00   1.999999992549419403e-01 -3.999999985098838806e-01
crcp   0.0e00  2.0e00   0.0e00 -5.0e-01
crcp   1.0e00  0.0e00   1.0e00  0.0e00
crcp  -2.0e00  2.0e00  -2.5e-01 -2.5e-01
crcp  -1.0e00 -2.0e00  -1.999999992549419403e-01  3.999999985098838806e-01
crcp   1.0e00 -2.0e00   1.999999992549419403e-01  3.999999985098838806e-01
clog   1.0e00  2.0e00   8.047189563512802124e-01  1.107148721814155578e00
clog   0.0e00  2.0e00   6.931471824645996093e-01  1.570796325802803039e00
clog   1.0e00  0.0e00   0.0e00  0.0e00
clog  -2.0e00  2.0e00   1.039720773696899414e00  2.356194496154785156e00
clog  -1.0e00 -2.0e00   8.047189563512802124e-01 -2.034443944692611694e00
clog   1.0e00 -2.0e00   8.047189563512802124e-01 -1.107148721814155578e00
ccosh   1.0e00  2.0e0  -6.421481221914291381e-01  1.068607419729232788e00
ccosh   0.0e00  2.0e00  -4.161468371748924255e-01  0.0e00
ccosh   1.0e00  0.0e00   1.543080642819404602e00  0.0e00
ccosh  -2.0e00  2.0e00  -1.565625831484794616e00 -3.297894805669784545e00
ccosh  -1.0e00 -2.0e00  -6.421481221914291381e-01  1.068607419729232788e00
ccosh   1.0e00 -2.0e00  -6.421481221914291381e-01 -1.068607419729232788e00
catan   1.0e00  2.0e00   1.338972523808479309e00  4.023594781756401062e-01
catan   0.0e00  2.0e00  -1.570796325802803039e00  5.493061468005180358e-01  /* -real part --- mjr: corrected to real part */
catan   1.0e00  0.0e00   7.853981629014015197e-01  0.0e00
catan  -2.0e00  2.0e00  -1.311223268508911132e00  2.388778626918792724e-01
catan  -1.0e00 -2.0e00  -1.338972523808479309e00 -4.023594819009304046e-01
catan   1.0e00 -2.0e00   1.338972523808479309e00 -4.023594819009304046e-01
casin  1.0  2.0  4.270785786211490631e-01  1.528570890426635742e00
casin  0.0  2.0  0.000000000000000000e00  1.443635478615760803e00
